          ,close ,high   ,low    ,p_change,open   ,pre_close,volume  ,date    ,date_week,atr21             ,atr14             ,key
2017-06-12,149.97,151.7  ,142.11 ,0.247   ,145.88 ,149.6    ,42438280,20170612,0        ,9.589999999999975 ,9.589999999999975 ,0
2017-06-13,151.4 ,154.77 ,145.65 ,0.954   ,154.4  ,149.97   ,41812580,20170613,1        ,9.343809523809515 ,9.338214285714276 ,1
2017-06-14,151.72,154.06 ,148.5  ,0.211   ,151.52 ,151.4    ,29616036,20170614,2        ,7.960604229607246 ,7.894923599320879 ,2
2017-06-15,152.37,153.6  ,146.5  ,0.428   ,146.96 ,151.72   ,24095612,20170615,3        ,7.713790131437186 ,7.6517340464104375,3
2017-06-16,151.62,154.7  ,150.24 ,-0.492  ,152.76 ,152.37   ,23123950,20170616,4        ,6.933479549884514 ,6.8190155173391105,4
2017-06-19,157.32,157.53 ,153.26 ,3.759   ,153.41 ,151.62   ,19454439,20170619,0        ,6.563294101179289 ,6.435148904234968 ,5
2017-06-20,157.09,161.74 ,156.92 ,-0.146  ,159.03 ,157.32   ,27386086,20170620,1        ,7.227445876120494 ,7.21162515813166  ,6
2017-06-21,159.47,159.62 ,155.7  ,1.515   ,158.21 ,157.09   ,17066279,20170621,2        ,6.663845018910248 ,6.567831746933222 ,7
2017-06-22,158.37,160.34 ,157.4  ,-0.69   ,159.8  ,159.47   ,11728324,20170622,3        ,6.124952392183118 ,5.956941798211779 ,8
2017-06-23,153.83,159.32 ,153.22 ,-2.867  ,158.68 ,158.37   ,27214702,20170623,4        ,6.143453230649733 ,6.008292526429705 ,9
2017-06-26,152.15,156.6  ,148.33 ,-1.092  ,155.16 ,153.83   ,26598996,20170626,0        ,6.688839215790668 ,6.686339431141793 ,10
2017-06-27,146.58,151.79 ,146.35 ,-3.661  ,151.44 ,152.15   ,24987313,20170627,1        ,6.7943968334887686,6.815321729626095 ,11
2017-06-28,151.75,151.94 ,145.75 ,3.527   ,149.32 ,146.58   ,24873679,20170628,2        ,6.743921738946002 ,6.749739281023164 ,12
2017-06-29,146.68,150.72 ,144.08 ,-3.341  ,150.6  ,151.75   ,26610631,20170629,3        ,6.731097208424655 ,6.732826242061069 ,13
2017-06-30,144.56,147.93 ,143.5  ,-1.445  ,147.38 ,146.68   ,18276526,20170630,4        ,6.91263892363664  ,6.961891798422802 ,14
2017-07-03,139.33,145.65 ,138.58 ,-3.618  ,145.05 ,144.56   ,17726820,20170703,0        ,7.050606633032423 ,7.130745372834789 ,15
2017-07-05,143.05,144.22 ,141.13 ,2.67    ,141.9  ,139.33   ,20504738,20170705,2        ,6.640279549502232 ,6.589820422430292 ,16
2017-07-06,143.48,145.38 ,139.76 ,0.301   ,141.87 ,143.05   ,18657132,20170706,3        ,6.574849625280356 ,6.511916520421538 ,17
2017-07-07,146.76,147.5  ,144.85 ,2.286   ,145.78 ,143.48   ,16374302,20170707,4        ,6.343923154215037 ,6.217584221187751 ,18
2017-07-10,153.7 ,154.0  ,148.68 ,4.729   ,149.74 ,146.76   ,23962269,20170710,0        ,6.7898508081488735,6.826013440386376 ,19
2017-07-11,155.88,156.19 ,152.15 ,1.418   ,153.85 ,153.7    ,18948883,20170711,1        ,7.067365025704158 ,7.19130563872047  ,20
2017-07-12,162.58,163.0  ,156.61 ,4.298   ,158.2  ,155.88   ,28630213,20170712,2        ,7.29875747187692  ,7.485076018446876 ,21
2017-07-13,160.63,166.3  ,158.75 ,-1.199  ,163.0  ,162.58   ,34228333,20170713,3        ,7.618179225634427 ,7.891520887156754 ,22
2017-07-14,164.95,165.01 ,161.01 ,2.689   ,161.29 ,160.63   ,23548708,20170714,4        ,7.252086008716413 ,7.355363524777482 ,23
2017-07-17,164.25,167.5  ,161.75 ,-0.424  ,166.33 ,164.95   ,23269759,20170717,0        ,7.213819027815443 ,7.288787941091066 ,24
2017-07-18,165.96,166.55 ,161.3  ,1.041   ,161.78 ,164.25   ,19415987,20170718,1        ,7.018938485090308 ,7.010202516236008 ,25
2017-07-19,165.1 ,167.4  ,164.61 ,-0.518  ,166.33 ,165.96   ,17176140,20170719,2        ,6.638172886447173 ,6.484473955352951 ,26
2017-07-20,167.5 ,167.51 ,163.91 ,1.454   ,165.93 ,165.1    ,17489889,20170720,3        ,6.341395836628085 ,6.0927515726838015,27
2017-07-21,168.1 ,169.3  ,166.09 ,0.358   ,166.67 ,167.5    ,16208257,20170721,4        ,6.133625786769324 ,5.836342247602285 ,28
2017-07-24,166.15,168.78 ,165.72 ,-1.16   ,168.39 ,168.1    ,16313052,20170724,0        ,5.837218593250778 ,5.461035264414535 ,29
2017-07-25,165.35,165.93 ,163.58 ,-0.481  ,165.22 ,166.15   ,12413896,20170725,1        ,5.7108898890669   ,5.334060293416087 ,30
2017-07-26,167.26,169.927,165.85 ,1.155   ,167.68 ,165.35   ,16010113,20170726,2        ,5.554969683089769 ,5.16471428560891  ,31
2017-07-27,161.74,168.74 ,157.56 ,-3.3    ,168.27 ,167.26   ,19571379,20170727,3        ,6.089344527256461 ,5.973950087898129 ,32
2017-07-28,164.39,165.38 ,159.28 ,1.638   ,160.29 ,161.74   ,12833737,20170728,4        ,6.2682240932452045,6.243501250841307 ,33
